Conc. Of Xyline,Solvent,Bas. Equiv.,Temp,t,Buli,Yield
0.1,0,1.05,25,0.25,0,0
0.1,0,1.05,25,3.14,0,47
0.1,0,1.05,25,12.4,0,48
0.1,0,1.05,25,25.1,0,48
0.1,0,1.05,25,62.8,0,42
0.1,0,1.05,25,87.9,0,42
0.2,0,1.5,-78,0.25,0,0
0.2,0,1.5,-78,3.14,0,5
0.2,0,1.5,-78,12.4,0,36
0.2,0,1.5,-78,25.1,0,61
0.2,0,1.5,-40,0.25,0,10
0.2,0,1.5,-40,3.14,0,24
0.2,0,1.5,-40,12.4,0,43
0.2,0,1.5,-40,25.1,0,63
0.2,0,1.5,-20,0.25,0,15
0.2,0,1.5,-20,3.14,0,34
0.2,0,1.5,-20,12.4,0,64
0.2,0,1.5,-20,25.1,0,64
0.2,0,1.5,0,0.25,0,24
0.2,0,1.5,0,3.14,0,41
0.2,0,1.5,0,12.4,0,65
0.2,0,1.5,0,25.1,0,56
0.2,0,1.5,25,0.25,0,30
0.2,0,1.5,25,3.14,0,52
0.2,0,1.5,25,12.4,0,67
0.2,0,1.5,25,25.1,0,51
0.3,0,1.5,-78,0.25,0,4
0.3,0,1.5,-78,3.14,0,13
0.3,0,1.5,-78,12.4,0,13
0.3,0,1.5,-20,0.25,0,25
0.3,0,1.5,-20,3.14,0,44
0.3,0,1.5,-20,12.4,0,53
0.3,0,1.5,-20,25.1,0,70
0.3,0,1.5,-20,62.8,0,77
0.3,0,1.5,-20,87.9,0,74
0.3,0,1.5,0,0.25,0,39
0.3,0,1.5,0,3.14,0,69
0.3,0,1.5,0,12.4,0,73
0.3,0,1.5,25,0.25,0,38
0.3,0,1.5,25,3.14,0,66
0.3,0,1.5,25,12.4,0,72
0.3,1,1.5,-78,0.25,1,26
0.3,1,1.5,-78,3.14,1,53
0.3,1,1.5,-78,25.1,1,80
0.3,1,1.5,-78,62.8,1,80
0.3,1,1.5,-78,82.9,1,77
0.3,1,1.5,-40,0.25,1,71
0.3,1,1.5,-40,3.14,1,84
0.3,1,1.5,-40,25.1,1,85
0.3,1,1.5,-40,62.8,1,87
0.3,1,1.5,-40,82.9,1,85
0.3,1,1.5,-20,0.25,1,83
0.3,1,1.5,-20,3.14,1,86
0.3,1,1.5,-20,25.1,1,90
0.3,1,1.5,-20,62.8,1,93
0.3,1,1.5,-20,82.9,1,91
0.3,1,1.5,0,0.25,1,70
0.3,1,1.5,0,3.14,1,76
0.3,1,1.5,0,25.1,1,77
0.3,1,1.5,0,62.8,1,77
0.3,1,1.5,0,82.9,1,75
0.3,1,1.5,25,0.25,1,60
0.3,1,1.5,25,3.14,1,69
0.3,1,1.5,25,25.1,1,75
0.3,1,1.5,25,62.8,1,66
0.3,1,1.5,25,82.9,1,65
0.4,1,1.5,-78,0.25,1,21
0.4,1,1.5,-78,3.14,1,35
0.4,1,1.5,-78,25.1,1,64
0.4,1,1.5,-78,62.8,1,64
0.4,1,1.5,-78,82.9,1,61
0.4,1,1.5,-40,0.25,1,55
0.4,1,1.5,-40,3.14,1,68
0.4,1,1.5,-40,25.1,1,66
0.4,1,1.5,-40,62.8,1,68
0.4,1,1.5,-40,82.9,1,70
0.4,1,1.5,-20,0.25,1,66
0.4,1,1.5,-20,3.14,1,70
0.4,1,1.5,-20,25.1,1,74
0.4,1,1.5,-20,62.8,1,78
0.4,1,1.5,-20,82.9,1,74
0.4,1,1.5,0,0.25,1,53
0.4,1,1.5,0,3.14,1,59
0.4,1,1.5,0,25.1,1,65
0.4,1,1.5,0,62.8,1,76
0.4,1,1.5,0,82.9,1,61
0.4,1,1.5,25,0.25,1,40
0.4,1,1.5,25,3.14,1,53
0.4,1,1.5,25,25.1,1,63
0.4,1,1.5,25,62.8,1,52
0.4,1,1.5,25,82.9,1,47
0.3,1,1.2,-78,0.25,1,31
0.3,1,1.2,-78,3.14,1,42
0.3,1,1.2,-78,12.4,1,71
0.3,1,1.2,-78,25.1,1,73
0.3,1,1.2,-40,0.25,1,49
0.3,1,1.2,-40,3.14,1,73
0.3,1,1.2,-40,12.4,1,75
0.3,1,1.2,-40,25.1,1,76
0.3,1,1.2,-20,0.25,1,71
0.3,1,1.2,-20,3.14,1,95
0.3,1,1.2,-20,12.4,1,91
0.3,1,1.2,-20,25.1,1,89
0.3,1,1.2,0,0.25,1,78
0.3,1,1.2,0,3.14,1,80
0.3,1,1.2,0,12.4,1,80
0.3,1,1.2,0,25.1,1,78
0.3,1,1.2,25,0.25,1,74
0.3,1,1.2,25,3.14,1,74
0.3,1,1.2,25,12.4,1,74
0.3,1,1.2,25,25.1,1,71
