flowrate,vol,t,yld,,,,,,,,,,
6,2,-20,69,,,,,,,,,,
6,2,-10,71,,,,,,,,,,
6,2,0,71,,,,,,,,,,
6,2,10,69,,,,,,,,,,
6,2,20,67,,,,,,,,,,
6,33,-20,68,,,,,,,,,,
6,33,-10,70,,,,,,,,,,
6,33,0,70,,,,,,,,,,
6,33,10,68,,,,,,,,,,
6,33,20,65,,,,,,,,,,
6,237,-20,64,,,,,,,,,,
6,237,-10,64,,,,,,,,,,
6,237,0,63,,,,,,,,,,
6,237,10,61,,,,,,,,,,
6,237,20,58,,,,,,,,,,
6,787,-20,60,,,,,,,,,,
6,787,-10,57,,,,,,,,,,
6,787,0,54,,,,,,,,,,
6,787,10,49,,,,,,,,,,
6,787,20,45,,,,,,,,,,
12,2,-20,82,,,,,,,,,,
12,2,-10,84,,,,,,,,,,
12,2,0,84,,,,,,,,,,
12,2,10,83,,,,,,,,,,
12,2,20,80,,,,,,,,,,
12,33,-20,82,,,,,,,,,,
12,33,-10,83,,,,,,,,,,
12,33,0,83,,,,,,,,,,
12,33,10,82,,,,,,,,,,
12,33,20,78,,,,,,,,,,
12,237,-20,78,,,,,,,,,,
12,237,-10,78,,,,,,,,,,
12,237,0,77,,,,,,,,,,
12,237,10,75,,,,,,,,,,
12,237,20,71,,,,,,,,,,
12,787,-20,73,,,,,,,,,,
12,787,-10,71,,,,,,,,,,
12,787,0,67,,,,,,,,,,
12,787,10,62,,,,,,,,,,
12,787,20,57,,,,,,,,,,
18,2,-20,83,,,,,,,,,,
18,2,-10,86,,,,,,,,,,
18,2,0,88,,,,,,,,,,
18,2,10,88,,,,,,,,,,
18,2,20,86,,,,,,,,,,
18,33,-20,86,,,,,,,,,,
18,33,-10,87,,,,,,,,,,
18,33,0,87,,,,,,,,,,
18,33,10,85,,,,,,,,,,
18,33,20,82,,,,,,,,,,
18,237,-20,83,,,,,,,,,,
18,237,-10,84,,,,,,,,,,
18,237,0,82,,,,,,,,,,
18,237,10,80,,,,,,,,,,
18,237,20,76,,,,,,,,,,
18,787,-20,79,,,,,,,,,,
18,787,-10,77,,,,,,,,,,
18,787,0,72,,,,,,,,,,
18,787,10,68,,,,,,,,,,
18,787,20,63,,,,,,,,,,
24,2,-20,81,,,,,,,,,,
24,2,-10,81,,,,,,,,,,
24,2,0,81,,,,,,,,,,
24,2,10,80,,,,,,,,,,
24,2,20,78,,,,,,,,,,
24,33,-20,80,,,,,,,,,,
24,33,-10,81,,,,,,,,,,
24,33,0,80,,,,,,,,,,
24,33,10,79,,,,,,,,,,
24,33,20,77,,,,,,,,,,
24,237,-20,79,,,,,,,,,,
24,237,-10,78,,,,,,,,,,
24,237,0,77,,,,,,,,,,
24,237,10,75,,,,,,,,,,
24,237,20,73,,,,,,,,,,
24,787,-20,77,,,,,,,,,,
24,787,-10,74,,,,,,,,,,
24,787,0,71,,,,,,,,,,
24,787,10,67,,,,,,,,,,
24,787,20,64,,,,,,,,,,
12,33,8,73,,,,,,,,,,
21,33,0,85,,,,,,,,,,
23,2,1,65,,,,,,,,,,
12,2,17,81,,,,,,,,,,
16,237,?16,81,,,,,,,,,,
24,33,18,83,,,,,,,,,,
24,787,11,71,,,,,,,,,,
8,33,7,75,,,,,,,,,,
6,33,?11,72,,,,,,,,,,
24,33,?14,78,,,,,,,,,,
20,33,11,88,,,,,,,,,,
20,33,15,88,,,,,,,,,,
18,33,20,89,,,,,,,,,,
16,2,20,90,,,,,,,,,,
17,2,19,90,,,,,,,,,,
