Ratio of reagent,Conc. SM,Residence time,Temp,conv
1.82,0.366,2.77,60.3,2.9
1.05,0.357,5.38,69.4,10
2.85,0.312,5.58,70.8,8.2
1.25,0.304,4.28,76.7,13.1
2.47,0.241,5.82,84.7,20.7
2.14,0.21,4.67,87.6,25.3
2.63,0.269,3.53,90.2,21
1.85,0.374,2.61,99.9,24.8
1.59,0.299,5.02,104.3,33.2
0.9,0.281,3.84,106.2,24.5
1.14,0.238,3.27,114.4,17.2
2.16,0.343,4.49,115.9,47.9
1.69,0.396,5.17,122.8,55.3
1.98,0.279,3.05,127.5,37.5
2.3,0.387,5.98,131,81
1.42,0.328,4.22,136.8,50
2.54,0.218,4.87,143.1,62.7
2.97,0.33,3.99,145.8,83
2.78,0.25,2.97,153.5,70.1
1.5,0.221,3.59,157.1,46
2.45,0.398,3.75,129.7,68.4
2.31,0.308,3.63,145.5,69.1
2.72,0.4,2.5,136.7,68.3
3,0.372,2.51,148,78.6
2.89,0.372,2.51,152.6,79.8
2.47,0.328,2.5,153.1,70.7
2.9,0.35,2.7,130.9,63.7
3,0.4,4.79,153,96.4
2.93,0.395,4.75,143.6,92.8
2.88,0.374,5.7,141.3,93.3
2.95,0.38,5.88,158.2,98.3
2.94,0.346,4.89,156.6,93.5
2.93,0.366,3.82,154.6,89.8
2.76,0.392,4.56,153.8,93.2
2.7,0.379,5.3,148.3,93
2.78,0.399,5.35,150.9,96.3
3,0.36,5.42,153.8,96.1
2.82,0.396,5.55,149.4,96.2
2.94,0.388,4.51,152.1,94.1
2.36,0.355,4.77,154.4,90.1
2.89,0.4,3.9,150.7,91.6
1.11,0.2,2.5,60,3.5
1.11,0.2,6,60,2
0.5,0.2,2.5,60,4.3
0.5,0.2,6,60,1.1
1.11,0.4,2.5,60,8.1
1.11,0.4,6,60,3.5
0.5,0.4,2.5,60,2.6
0.5,0.4,6,60,0.1
0.69,0.3,4.25,105,8.1
0.69,0.3,4.25,105,9
1.11,0.2,2.5,150,25.5
1.11,0.2,6,150,39.2
0.5,0.2,2.5,150,15.6
0.5,0.2,6,150,23.5
1.11,0.4,2.5,150,42.1
1.11,0.4,6,150,58.2
0.5,0.4,2.5,150,21.8
0.5,0.4,6,150,25.7
0.69,0.3,4.25,105,9.6
1.44,0.4,3.89,157.3,63.3
1.42,0.362,2.74,150.6,46.1
1.28,0.4,3.45,156.2,53.6
1.64,0.382,3.57,157.9,56.1
1.65,0.4,3.24,146,57.6
1.94,0.39,4.07,147.9,69.5
1.79,0.397,4.4,160,76.9
1.87,0.4,2.5,141.3,55.6
1.46,0.397,2.72,155.9,55.8
2.27,0.393,2.5,152.5,64.5
2.12,0.395,4.64,156.1,83.8
2.24,0.382,6,159.4,94.3
1.65,0.365,6,160,89
2.49,0.356,3.11,150.2,73.2
2.05,0.39,3.15,133,57.6
0.9,0.2,2.5,60,28.1
0.9,0.2,6,60,0
0.9,0.4,2.5,60,14.1
0.9,0.4,6,60,5.2
3,0.2,2.5,60,0
3,0.2,6,60,2.6
3,0.4,2.5,60,12.6
3,0.4,6,60,25.2
1.95,0.3,4.25,110,35
1.95,0.3,4.25,110,35.4
1.95,0.3,4.25,110,34.9
0.9,0.2,2.5,160,25.6
0.9,0.2,6,160,36.4
0.9,0.4,2.5,160,40.7
0.9,0.4,6,160,57.5
3,0.2,2.5,160,62.7
3,0.2,6,160,84.5
3,0.4,2.5,160,85.8
3,0.4,6,160,99.8
1.82,0.379,4.82,81.2,26.1
2.87,0.367,4.69,140.2,87.8
1.96,0.332,4.51,158.2,78.5
2.59,0.301,4.49,133.3,67.5
3,0.384,3.3,150.8,87.3
1.9,0.364,3.96,138.4,62.9
2.92,0.321,3.81,150.4,83.6
2.76,0.388,3.61,154.4,88.5
2.93,0.289,2.68,160,77.2
2.96,0.298,5.82,154.9,93.4
2.21,0.231,2.83,154.3,52.3
2.68,0.219,3.37,159.5,63.8
2.03,0.36,4.82,154.2,81.6
1.95,0.396,3.87,152,75.3
2.98,0.379,2.89,123.4,61.7
2.28,0.398,4.11,108.6,50.6
2.96,0.399,3.2,95.6,41.7
1.35,0.351,2.93,154.7,51.6
2.56,0.39,2.55,112.5,44.7
2.72,0.383,2.66,157.6,82.6
2.51,0.296,2.89,160,73.8
2.92,0.4,4.07,146.8,90.4
2.65,0.34,3.1,127.2,59.7
2.95,0.288,4.99,114.9,61.1
2.97,0.4,3.65,132.4,80.6
2.79,0.364,3.91,160,89.6
0.69,0.3,4.25,105,9
0.69,0.3,4.25,105,8.1
1.31,0.322,2.79,131.6,30.4
1.23,0.393,2.5,158.4,49.2
2.2,0.387,2.69,76.6,16.8
0.9,0.283,2.73,82.4,14.2
